Municipality,Type,County,Population,Area,Incorporated
Merrill,Town,Aroostook,208,37.4,1876
Masardis,Town,Aroostook,204,38.7,1839
Whitneyville,Town,Washington,202,14.9,1845
Woodville,Town,Penobscot,201,42.7,1895
Baring Plantation,Plantation,Washington,201,20.9,1825
Gilead,Town,Oxford,195,18.9,1804
Winterville Plantation,Plantation,Aroostook,194,35.6,1884
Moose River,Town,Somerset,188,40.1,1903
Mount Chase,Town,Penobscot,187,36.7,1864
Rangeley Plantation,Plantation,Franklin,184,40.7,1895
Topsfield,Town,Washington,179,50.1,1838
Northfield,Town,Washington,178,43.6,1838
Cooper,Town,Washington,168,30.7,1822
Hamlin,Town,Aroostook,166,23.4,1859
Cranberry Isles,Town,Hancock,160,3.2,1830
Orient,Town,Aroostook,156,35.5,1856
Lake View Plantation,Plantation,Piscataquis,150,41.5,1892
Meddybemps,Town,Washington,139,13.1,1841
Carroll Plantation,Plantation,Penobscot,138,43.9,1845
Bowerbank,Town,Piscataquis,136,41.9,1907
Willimantic,Town,Piscataquis,134,43.2,1881
Edinburg,Town,Penobscot,134,35.0,1835
Beaver Cove,Town,Piscataquis,133,31.9,1975
Coplin Plantation,Plantation,Franklin,131,33.1,1866
Reed Plantation,Plantation,Aroostook,129,59.0,1843
Sandy River Plantation,Plantation,Franklin,128,34.1,1905
Grand Lake Stream,Plantation,Washington,125,44.2,1897
Wesley,Town,Washington,122,49.9,1833
Lakeville,Town,Penobscot,104,58.3,1868
Byron,Town,Oxford,103,51.8,1833
Vanceboro,Town,Washington,102,20.1,1871
Haynesville,Town,Aroostook,97,41.4,1876
Crawford,Town,Washington,93,34.5,1828
Aurora,Town,Hancock,93,37.7,1831
Isle au Haut,Town,Knox,92,12.5,1874
Hammond,Town,Aroostook,91,39.1,1885
Maxfield,Town,Penobscot,89,18.9,1840
Pleasant Ridge Plantation,Plantation,Somerset,85,22.0,1840
Caratunk,Town,Somerset,81,52.3,1840
Westmanland,Town,Aroostook,79,35.6,1870
Garfield Plantation,Plantation,Aroostook,79,38.3,1885
Cyr Plantation,Plantation,Aroostook,78,38.3,1870
Deblois,Town,Washington,74,35.9,1852
Hersey,Town,Aroostook,73,39.7,1873
Talmadge,Town,Washington,70,37.8,1875
Upton,Town,Oxford,69,39.5,1860
Webster Plantation,Plantation,Penobscot,68,36.6,1856
Waite,Town,Washington,66,44.0,1876
Osborn,Town,Hancock,65,35.2,1976
Monhegan,Plantation,Lincoln,64,0.9,1839
Macwahoc Plantation,Plantation,Aroostook,62,29.4,1844
Brighton Plantation,Plantation,Somerset,62,39.3,1816
Great Pond,Town,Hancock,61,37.8,1840
Dennistown Plantation,Plantation,Somerset,61,38.8,1873
Beddington,Town,Washington,60,34.6,1833
West Forks,Plantation,Somerset,58,48.9,1893
Matinicus Isle,Plantation,Knox,53,2.3,1840
Highland Plantation,Plantation,Somerset,52,42.0,1886
The Forks,Plantation,Somerset,48,39.6,1840
Moro Plantation,Plantation,Aroostook,44,35.4,1891
Lincoln Plantation,Plantation,Oxford,41,32.5,1875
Seboeis Plantation,Plantation,Penobscot,40,40.0,1890
Frye Island,Town,Cumberland,32,1.3,1998
Frenchboro,Town,Hancock,29,4.8,1979
Kingsbury Plantation,Plantation,Piscataquis,28,44.1,1836
Nashville Plantation,Plantation,Aroostook,27,35.2,1895
Glenwood Plantation,Plantation,Aroostook,5,38.1,1863
